Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index,Saturated
2.1817017,13.338425568359128,275.4769,0.001088,5,False
2.1578064,13.261805969514203,275.28595,0.001088,6,False
2.1720886,13.432974773735376,275.12408,0.001088,7,False
2.1955261,13.277507525045847,275.57135,0.001088,8,False
2.2801514,13.444344307589674,275.59772,0.00112,0,False
2.2555542,13.451665046588623,275.4176,0.00112,1,False
2.270172,13.281192171130062,275.5276,0.00112,2,False
2.283905,13.351220677217459,275.45248,0.00112,3,False
2.269165,13.294757387204385,275.29834,0.00112,4,False
2.2522583,13.473689303746475,275.54745,0.00112,5,False
2.2692566,13.27002089605116,275.3974,0.00112,6,False
2.258545,13.311525763765536,275.21054,0.00112,7,False
2.2946472,13.348008075836566,275.67047,0.00112,8,False
2.320282,13.462922638413277,275.63785,0.001152,0,False
2.3223267,13.279739622142984,275.48438,0.001152,1,False
2.3403015,13.347246060815488,275.59772,0.001152,2,False
2.250824,13.470770718780793,275.4194,0.001152,3,False
2.2561646,13.283288049612812,275.28534,0.001152,4,False
2.171051,13.4853326235287,275.46625,0.001152,5,False
2.1829834,13.296298950335519,275.31113,0.001152,6,False
2.1834106,13.331584966258417,275.1354,0.001152,7,False
2.288086,13.364340822571506,275.6639,0.001152,8,False
2.405243,13.37977263827268,275.7228,0.001184,0,False
2.378357,13.48007269683454,275.5404,0.001184,1,False
2.3675232,13.30393123883866,275.62494,0.001184,2,False
2.3200684,13.48548232913461,275.48865,0.001184,3,False
2.336731,13.304187491677606,275.3659,0.001184,4,False
2.37146,13.381179331488578,275.66666,0.001184,5,False
2.267212,13.471971061026382,275.39536,0.001184,6,False
2.2861938,13.27892231045666,275.2382,0.001184,7,False
2.2915344,13.326399218017636,275.66736,0.001184,8,False
2.3843384,13.298850689131763,275.7019,0.001216,0,False
2.398468,13.377087378260354,275.56052,0.001216,1,False
2.3899841,13.495194311730673,275.6474,0.001216,2,False
2.3973083,13.319565359412685,275.5659,0.001216,3,False
2.388977,13.474835698025972,275.41815,0.001216,4,False
2.4206543,13.522494679972514,275.71585,0.001216,5,False
2.4242249,13.326334480458323,275.55237,0.001216,6,False
2.4342346,13.363242981461495,275.38623,0.001216,7,False
2.4195862,13.396741971007529,275.7954,0.001216,8,False
2.4858704,13.489721290570444,275.80344,0.001248,0,False
2.4856873,13.324505644407738,275.64774,0.001248,1,False
2.4996338,13.386912651585213,275.75705,0.001248,2,False
2.492157,13.482933287736673,275.66074,0.001248,3,False
2.506012,13.318374458061161,275.5352,0.001248,4,False
2.4909668,13.533717205619206,275.78616,0.001248,5,False
2.4983215,13.325635854297406,275.62646,0.001248,6,False
