Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index
1.984375,13.254957275218578,275.30194,0.000992,0
1.9723511,13.214299390571876,275.1344,0.000992,1
1.963501,13.418303624356128,275.22092,0.000992,2
1.9620972,13.300718637457766,275.13068,0.000992,3
1.9249573,13.240408857462192,274.95413,0.000992,4
1.9198914,13.40570542557404,275.2151,0.000992,5
1.9648132,13.303530675190412,275.09296,0.000992,6
1.9594727,13.241286860610373,274.91147,0.000992,7
1.9585266,13.403486815468424,275.33435,0.000992,8
2.0620728,13.298972072055474,275.37964,0.001024,0
2.0437927,13.251488420998736,275.20584,0.001024,1
2.0376282,13.46419446171394,275.29504,0.001024,2
2.082306,13.322725361526638,275.2509,0.001024,3
2.0607605,13.265848020873792,275.08994,0.001024,4
2.0452576,13.428841010833427,275.34045,0.001024,5
2.0915833,13.336568409626345,275.21973,0.001024,6
2.0609436,13.245096935715758,275.01294,0.001024,7
2.0743713,13.405125484938528,275.4502,0.001024,8
2.0857544,13.315512518459878,275.40332,0.001056,0
2.0856628,13.268112486750585,275.2477,0.001056,1
2.072937,13.462585463625189,275.33035,0.001056,2
2.0641174,13.325931219411771,275.2327,0.001056,3
2.034668,13.263006311759794,275.06384,0.001056,4
2.0192566,13.444494013195584,275.31445,0.001056,5
2.0709229,13.334534571304603,275.19907,0.001056,6
2.0653381,13.25563567089221,275.01733,0.001056,7
2.0567322,13.441451347907886,275.43256,0.001056,8
2.1734314,13.315786304387805,275.491,0.001088,0
2.17099,13.2655081486874,275.33304,0.001088,1
2.1669312,13.474654972339556,275.42435,0.001088,2
2.211792,13.343611316599908,275.38037,0.001088,3
2.1955261,13.277507525045847,275.2247,0.001088,4
2.169464,13.445521721949675,275.46466,0.001088,5
2.1817017,13.338425568359128,275.30984,0.001088,6
2.1578064,13.261805969514203,275.1098,0.001088,7
2.1720886,13.432974773735376,275.5479,0.001088,8
2.258545,13.311525763765536,275.5761,0.00112,0
2.2692566,13.27002089605116,275.4313,0.00112,1
2.2522583,13.473689303746475,275.50967,0.00112,2
2.2946472,13.348008075836566,275.46323,0.00112,3
2.269165,13.294757387204385,275.29834,0.00112,4
2.2555542,13.451665046588623,275.55075,0.00112,5
2.283905,13.351220677217459,275.41205,0.00112,6
2.270172,13.281192171130062,275.22217,0.00112,7
2.2801514,13.444344307589674,275.65598,0.00112,8
2.1834106,13.331584966258417,275.50098,0.001152,0
2.1829834,13.296298950335519,275.34503,0.001152,1
2.171051,13.4853326235287,275.42847,0.001152,2
2.288086,13.364340822571506,275.45667,0.001152,3
2.2561646,13.283288049612812,275.28534,0.001152,4
2.250824,13.470770718780793,275.54602,0.001152,5
2.3403015,13.347246060815488,275.46844,0.001152,6
2.3223267,13.279739622142984,275.27432,0.001152,7
